"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"OR8B9P",1.96697081142116E-15,1.92534232406565,0.429,0.02,4.80216253900362E-11,"Astrocyte"
"SBSPON",2.83163628497938E-15,2.25058629053997,0.429,0.02,6.91315682614867E-11,"Astrocyte"
"MYOT",4.90261521597711E-15,2.46724062184148,0.286,0.009,1.19692447882865E-10,"Astrocyte"
"NOV",5.11777489456735E-14,2.14731150117704,0.429,0.022,1.24945356275967E-09,"Astrocyte"
"SLITRK6",5.27343477929828E-14,1.7031370294838,0.286,0.01,1.28745636701788E-09,"Astrocyte"
"L1CAM",6.81257428713681E-14,2.61589074561659,0.286,0.01,1.66322188646158E-09,"Astrocyte"
"FLRT3",2.1724906994638E-13,1.7158318035613,0.286,0.01,5.30391879367093E-09,"Astrocyte"
"NPTX2",2.7754711504489E-13,1.35541373141959,0.286,0.01,6.77603526670594E-09,"Astrocyte"
"CADM4",4.99488571182455E-13,1.47673458287319,0.286,0.01,1.21945139768485E-08,"Astrocyte"
"AQP7",6.43139466842264E-13,1.52866738410385,0.286,0.011,1.5701606943487E-08,"Astrocyte"
"GATM",1.21559850761303E-12,2.35579138952596,0.571,0.044,2.96776219648645E-08,"Astrocyte"
"TPPP3",8.26303089272122E-12,4.06179451110285,1,0.175,2.01733636214896E-07,"Astrocyte"
"CLU",8.82262641342569E-12,5.01595311007213,1,0.173,2.15395601257375E-07,"Astrocyte"
"NPFFR1",9.59925007722891E-12,1.72523074947966,0.429,0.026,2.34356091385467E-07,"Astrocyte"
"FXYD1",9.98076266840003E-12,3.80601431297028,0.857,0.115,2.43670339786318E-07,"Astrocyte"
"TTLL7",2.18618122048541E-11,2.63593217184486,0.714,0.08,5.33734283169308E-07,"Astrocyte"
"SCN7A",3.02725557154707E-11,2.04413068315958,0.429,0.027,7.39074175237503E-07,"Astrocyte"
"ZFHX4",3.1804787092401E-11,1.71330493210554,0.429,0.028,7.76482072073879E-07,"Astrocyte"
"SEMA3B",8.17242462446373E-11,2.36945376603932,0.714,0.083,1.99521574781657E-06,"Astrocyte"
"SCRG1",2.60888475813484E-10,2.38858946656299,0.429,0.03,6.3693312485104E-06,"Astrocyte"
"SPARCL1",1.28104505486489E-09,2.90084447746537,1,0.188,3.12754339694714E-05,"Astrocyte"
"PCDH9",1.77079267567719E-09,2.17618159568114,0.429,0.033,4.3232132383983E-05,"Astrocyte"
"HES1",4.10181497627241E-09,3.09970351340833,0.714,0.103,0.000100141710831,"Astrocyte"
"TSPAN11",5.50135044388043E-09,1.57986442974285,0.286,0.016,0.000134309969737,"Astrocyte"
"HNRNPA1P40",1.23384730818277E-08,3.74499230234622,0.857,0.178,0.00030123148182,"Astrocyte"
"KBTBD11-OT1",1.40357528892666E-08,0.921986000681485,0.286,0.017,0.000342668871039,"Astrocyte"
"AATK",1.97960327437811E-08,1.85864577799593,0.429,0.038,0.000483300343407,"Astrocyte"
"PPP2R2B",3.5716598688416E-08,1.41599146729551,0.286,0.017,0.000871985040379,"Astrocyte"
"OLA1P3",5.05464318881564E-08,1.51009855738419,0.286,0.018,0.001234040588117,"Astrocyte"
"TBX3",7.09148004986368E-08,2.0295480752104,0.429,0.041,0.001731313939374,"Astrocyte"
"FIGN",7.34348803381535E-08,1.2108761867626,0.286,0.018,0.001792839168576,"Astrocyte"
"GFRA1",1.40127306853807E-07,1.66505092874096,0.286,0.019,0.003421068069529,"Astrocyte"
"MATN2",1.92323059485857E-07,2.6133911003251,0.714,0.129,0.004695375174288,"Astrocyte"
"NRN1",2.43207290235275E-07,1.76282655760106,0.429,0.044,0.005937662783804,"Astrocyte"
"ANK3",2.76681908583162E-07,2.23154273660144,0.429,0.044,0.006754912116149,"Astrocyte"
"KCNN3",2.96235794178349E-07,2.59247789355549,0.571,0.082,0.00723230067907,"Astrocyte"
"CHL1",3.22961933953946E-07,2.01276994788807,0.286,0.02,0.007884792655552,"Astrocyte"
"PDK4",4.29805263890046E-07,2.65670385036476,0.714,0.133,0.010493265712612,"Astrocyte"
"AP1S2",4.53517001246027E-07,2.81834189958971,0.857,0.228,0.011072164068421,"Astrocyte"
"SHISA4",4.84799462603822E-07,1.81370649540752,0.429,0.047,0.01183589408001,"Astrocyte"
"TMOD2",5.82106200207943E-07,2.11088057032458,0.429,0.047,0.014211540771877,"Astrocyte"
"ULK2",6.0352500937775E-07,1.6846086237082,0.286,0.021,0.014734459578948,"Astrocyte"
"GPR155",7.53297643680349E-07,2.84162683782527,0.571,0.087,0.018391008672812,"Astrocyte"
"SH3BGR",1.2985565054247E-06,0.911303048357466,0.286,0.022,0.031702958523439,"Astrocyte"
"CD9",1.82052063038539E-06,3.29326499967697,1,0.458,0.044446190670229,"Astrocyte"
"GAL3ST1",2.44790734009409E-06,1.69895913209363,0.286,0.023,0.059763209801057,"Astrocyte"
"ARHGAP12",2.98448976528471E-06,2.15391018655061,0.571,0.098,0.072863333129661,"Astrocyte"
"NUCKS1",3.08526486102122E-06,2.23616121995213,1,0.508,0.075323656316972,"Astrocyte"
"ENSG00000285815",3.16540376478572E-06,0.909110117948564,0.286,0.024,0.077280167513479,"Astrocyte"
"TET1",3.42848957034081E-06,1.33344909571851,0.286,0.024,0.083703144370301,"Astrocyte"
"CYP46A1",3.52728031236113E-06,1.82573092824085,0.429,0.054,0.086115021545985,"Astrocyte"
"FAM120C",3.63267155508015E-06,1.96267349397675,0.286,0.024,0.088688043345727,"Astrocyte"
"PMP22",3.9129403419318E-06,3.33915056409187,0.857,0.243,0.095530525507923,"Astrocyte"
"AC113935.1",4.76090599423317E-06,1.34010463862755,0.429,0.053,0.116232758943209,"Astrocyte"
"CADM1",5.55067065305623E-06,1.5959092780638,0.429,0.055,0.135514073323715,"Astrocyte"
"DOK5",5.85198153745183E-06,1.52137879217163,0.286,0.025,0.142870277255349,"Astrocyte"
"ZNF665",6.24378911907393E-06,2.35899590164537,0.857,0.289,0.152435867553071,"Astrocyte"
"SORT1",6.28445357574355E-06,1.81845390588564,0.429,0.057,0.153428649598203,"Astrocyte"
"TMEM176A",6.9098742145518E-06,2.03110076928523,0.857,0.264,0.168697669074068,"Astrocyte"
"FIBIN",8.75830339387743E-06,2.03092079648419,0.429,0.058,0.213825219058124,"Astrocyte"
"ZEB2",8.82111027907748E-06,2.32096515245186,0.714,0.178,0.215358586353398,"Astrocyte"
"FZD3",1.07286284895395E-05,2.02622724172095,0.429,0.059,0.261928735943617,"Astrocyte"
"RAB3B",1.10200142230054E-05,2.4772871235946,1,0.71,0.269042627240453,"Astrocyte"
"ARHGEF26",1.11666094774576E-05,1.3611285825601,0.286,0.026,0.27262160378265,"Astrocyte"
"ARHGEF10",1.30579377967822E-05,1.47913497332286,0.429,0.059,0.31879649337064,"Astrocyte"
"PDLIM4",1.4933452513561E-05,2.15136238950387,0.571,0.112,0.364585309666079,"Astrocyte"
"FSD2",2.08987312327069E-05,1.99335883951415,0.429,0.063,0.510221624315305,"Astrocyte"
"RERG",2.10971693610301E-05,1.76234724953744,0.429,0.062,0.515066292780189,"Astrocyte"
"KHDRBS3",2.35657407967972E-05,1.22901931781649,0.286,0.028,0.575333995813008,"Astrocyte"
"IGFBP7",2.42314999175879E-05,1.52745776109518,1,0.33,0.591587838987991,"Astrocyte"
"EYS",2.57077697869142E-05,1.31615195370981,0.286,0.028,0.627629491577722,"Astrocyte"
"CALM2",2.85862660913902E-05,1.90378129892321,1,0.813,0.6979051003552,"Astrocyte"
"MKRN2",3.72206483802489E-05,1.91153500460334,0.429,0.067,0.908704909555397,"Astrocyte"
"MIA",3.87679061882223E-05,2.50885984744063,0.286,0.03,0.946479661679259,"Astrocyte"
"MB21D2",4.0667141286872E-05,1.74380514506671,0.286,0.03,0.992847587377694,"Astrocyte"
"MT-ND3",4.549146563228E-05,1.64371378260378,1,0.973,1,"Astrocyte"
"FADS3",4.67985458356906E-05,1.67018747934835,0.429,0.067,1,"Astrocyte"
"TUBA1A",4.70850908444798E-05,2.72704058488421,0.857,0.313,1,"Astrocyte"
"PNPT1",4.91093920347937E-05,2.65693324007174,1,0.623,1,"Astrocyte"
"ERBB3",5.30066980633153E-05,1.96243543508828,0.571,0.127,1,"Astrocyte"
"PTGES3",5.52415953751984E-05,1.57275166313725,1,0.624,1,"Astrocyte"
"RARRES2",5.55508420026185E-05,1.52278070084738,0.857,0.238,1,"Astrocyte"
"MFSD2A",5.70093473864691E-05,2.00034304258354,0.286,0.031,1,"Astrocyte"
"TIMP3",5.71360632365332E-05,2.02295057172087,0.714,0.188,1,"Astrocyte"
"CNN3",6.50257278625529E-05,2.67321897377652,0.714,0.221,1,"Astrocyte"
"HAND2",6.79509321866569E-05,1.6248492629138,0.286,0.031,1,"Astrocyte"
"KCNA7",6.97395021949159E-05,2.09212873749403,0.571,0.126,1,"Astrocyte"
"H3F3B",7.06138809409844E-05,1.70225104758752,1,0.915,1,"Astrocyte"
"ITGA1",7.11450480484951E-05,2.48182241669132,1,0.463,1,"Astrocyte"
"DNAJB6",7.26356050740292E-05,2.14271769282805,0.857,0.394,1,"Astrocyte"
"ATL1",7.33564110133952E-05,1.68792665945894,0.286,0.032,1,"Astrocyte"
"RASSF4",7.61979278571876E-05,1.55663257740336,0.429,0.07,1,"Astrocyte"
"ANK2",7.69846851716959E-05,1.52346335575324,0.286,0.032,1,"Astrocyte"
"NOVA1",8.38833984981166E-05,1.70270153402114,0.429,0.07,1,"Astrocyte"
"CNP",8.46090567013629E-05,2.32511100217024,0.571,0.135,1,"Astrocyte"
"ATP1A3",8.76302706406629E-05,1.51493124574911,0.429,0.07,1,"Astrocyte"
"FSTL3",8.91421916415645E-05,1.7410632939118,0.429,0.072,1,"Astrocyte"
"ACER3",0.000101722615617,2.09805425637452,0.714,0.231,1,"Astrocyte"
"CLUAP1",0.000103857786034,1.99141313549137,0.429,0.074,1,"Astrocyte"
"PRNP",0.000105806189201,2.83015353495875,0.714,0.241,1,"Astrocyte"
"EHBP1",0.000107126987839,2.18212472151469,0.429,0.075,1,"Astrocyte"
"SPARC",0.000128201744806,2.19602474902893,0.857,0.294,1,"Astrocyte"
"SGCD",0.000128583079644,1.35941825248396,0.286,0.034,1,"Astrocyte"
"SORBS2",0.000137960234359,3.40725268641271,0.429,0.075,1,"Astrocyte"
"CAB39L",0.00014384192276,1.39463936448096,0.286,0.034,1,"Astrocyte"
"MORF4L1",0.000144691245518,1.61540919412798,1,0.629,1,"Astrocyte"
"GATD1",0.000152425098101,2.08713018247109,0.714,0.239,1,"Astrocyte"
"NDRG2",0.000161829446233,2.48115939305263,0.571,0.142,1,"Astrocyte"
"CCDC144B",0.000182467090206,1.56934210531232,0.429,0.076,1,"Astrocyte"
"ATP9B",0.000195956726236,2.49887067599629,0.857,0.392,1,"Astrocyte"
"CCL5",0.000197389225936,1.60683512019418,1,0.638,1,"Astrocyte"
"NPHP1",0.000224553285052,1.57152156006682,0.286,0.036,1,"Astrocyte"
"PMEPA1",0.000246909499336,2.11751613812826,0.571,0.151,1,"Astrocyte"
"PGM5P2",0.000279748924347,1.90408699034573,0.571,0.153,1,"Astrocyte"
"MT1M",0.000306665994514,2.27969731804231,0.429,0.082,1,"Astrocyte"
"MAL",0.000323555710281,1.27560360180866,0.286,0.037,1,"Astrocyte"
"ABLIM1",0.000324467790302,2.50659568160837,0.571,0.159,1,"Astrocyte"
"SDHAF3",0.00033521074404,2.20512089786478,0.571,0.161,1,"Astrocyte"
"TCEAL9",0.00036408652827,2.29606971383166,0.714,0.282,1,"Astrocyte"
"LGALS1",0.000377506111647,1.68922470768904,1,0.65,1,"Astrocyte"
"ALDH1A1",0.000399853703015,2.58200435993775,0.571,0.16,1,"Astrocyte"
"SYNPO2L",0.00043127774547,0.790121706113057,0.286,0.038,1,"Astrocyte"
"GAS7",0.000446742004557,1.83023353095057,0.429,0.087,1,"Astrocyte"
"SELENOM",0.00050635874126,1.65575722579594,0.857,0.417,1,"Astrocyte"
"ALDH6A1",0.000530279191837,1.86990765986523,0.429,0.09,1,"Astrocyte"
"CTNNAL1",0.000570315915843,2.0765234563714,0.429,0.09,1,"Astrocyte"
"WDR62",0.000576830244423,0.934358970070573,0.429,0.084,1,"Astrocyte"
"LPAR1",0.000658712641549,2.52712583489696,0.286,0.041,1,"Astrocyte"
"XKR4",0.000666633262581,2.4616844800402,0.429,0.093,1,"Astrocyte"
"VIM",0.000671699298693,1.5834201754554,1,0.699,1,"Astrocyte"
"PLEKHB1",0.000720170159482,2.13189022326036,0.286,0.042,1,"Astrocyte"
"ZNF566",0.000728349409548,2.22202608464632,0.286,0.042,1,"Astrocyte"
"METRN",0.000733530506827,1.45569457226151,0.286,0.042,1,"Astrocyte"
"CLIC4",0.000766964757338,2.26980372528857,0.571,0.177,1,"Astrocyte"
"S100A10",0.000779340359212,1.18084291445627,1,0.72,1,"Astrocyte"
"HOXA5",0.000807437579431,1.43008736202825,0.286,0.042,1,"Astrocyte"
"ZNF724",0.000824957193034,1.34652635399668,0.286,0.042,1,"Astrocyte"
"MARCKS",0.000862711218838,2.51840198688281,0.714,0.325,1,"Astrocyte"
"C2orf88",0.000886271492067,1.59332478514264,0.286,0.043,1,"Astrocyte"
"MARCH2",0.000887201597246,1.76183692332413,0.429,0.096,1,"Astrocyte"
"PCLAF",0.000917915672976,1.56860864495429,0.571,0.163,1,"Astrocyte"
"MEGF9",0.000925591141858,1.6296338008762,0.286,0.043,1,"Astrocyte"
"SGCE",0.000983263259046,1.8386940587459,0.429,0.097,1,"Astrocyte"
"TMEM176B",0.001040568657308,2.08662364585752,0.714,0.287,1,"Astrocyte"
"COBL",0.001090294347081,1.57216178229937,0.286,0.044,1,"Astrocyte"
"USP49",0.001097719263668,1.64580445016866,0.286,0.044,1,"Astrocyte"
"RAPGEF5",0.001100313862685,1.63873086266139,0.286,0.044,1,"Astrocyte"
"SAMHD1",0.001111638783476,2.04062081917875,0.571,0.185,1,"Astrocyte"
"ZBTB20",0.001139461038562,2.82640672907492,0.714,0.335,1,"Astrocyte"
"PHAX",0.001177828485586,1.899480553642,0.571,0.188,1,"Astrocyte"
"TM7SF3",0.001220589033688,1.85818837067007,0.571,0.181,1,"Astrocyte"
"ZNF483",0.001268231094192,1.21683603870081,0.286,0.044,1,"Astrocyte"
"IQCJ-SCHIP1",0.001275782374662,1.15224158366202,0.286,0.045,1,"Astrocyte"
"EPB41L2",0.001305065405893,2.16893413290901,0.571,0.191,1,"Astrocyte"
"PLCB1",0.001326260596041,1.67879567723337,0.286,0.045,1,"Astrocyte"
"RALGPS2",0.001362465656154,1.61221912282394,0.429,0.1,1,"Astrocyte"
"VPS26A",0.001371882761504,2.00512497371848,0.571,0.195,1,"Astrocyte"
"SERPINB6",0.001391079381906,1.63810024359405,0.714,0.331,1,"Astrocyte"
"PPP4R2",0.001497650233548,1.91736924283812,0.571,0.195,1,"Astrocyte"
"ADAM17",0.001523436166152,2.44528203504887,0.714,0.369,1,"Astrocyte"
"SYPL1",0.001555968125266,2.15584736599744,0.714,0.357,1,"Astrocyte"
"DAAM2",0.001637481588158,1.07250682879695,0.286,0.045,1,"Astrocyte"
"NDST1",0.001797742675636,1.54757359048818,0.286,0.048,1,"Astrocyte"
"RBMS3",0.00180476965719,1.83430600268283,0.429,0.104,1,"Astrocyte"
"TF",0.001841430200617,1.76127715521125,0.857,0.616,1,"Astrocyte"
"MTMR9",0.00186523743155,2.49319516531199,0.571,0.206,1,"Astrocyte"
"TSPAN9",0.001899758747078,1.4973392834545,0.286,0.048,1,"Astrocyte"
"ANGEL1",0.001915210167873,1.44888826572866,0.286,0.048,1,"Astrocyte"
"SAMD4A",0.00194739845011,1.53018416711301,0.286,0.048,1,"Astrocyte"
"CCDC92",0.002138754800633,1.28443454215023,0.286,0.049,1,"Astrocyte"
"APCDD1",0.002222552707542,1.80721271630557,0.429,0.11,1,"Astrocyte"
"PHLDB1",0.002298050226666,1.64357407478131,0.571,0.187,1,"Astrocyte"
"C5orf24",0.002305912838934,1.7034244501462,0.571,0.196,1,"Astrocyte"
"SPATA13",0.002312284442016,1.61561178445936,0.429,0.109,1,"Astrocyte"
"C12orf50",0.00240571005655,2.02594242030176,0.571,0.179,1,"Astrocyte"
"MAPRE2",0.00246892445934,1.60790514073491,0.429,0.111,1,"Astrocyte"
"ITGB8",0.002535795650653,1.61919280401031,0.286,0.05,1,"Astrocyte"
"FBXL2",0.002737137022721,1.52354001046256,0.286,0.051,1,"Astrocyte"
"SSC5D",0.002738592171446,1.60427592223353,0.286,0.051,1,"Astrocyte"
"MT2A",0.00287393503438,1.14155125555342,0.857,0.521,1,"Astrocyte"
"SEMA6B",0.002883662158927,1.52547030130839,0.857,0.643,1,"Astrocyte"
"SMG1",0.002900383047178,2.28858713422547,0.714,0.411,1,"Astrocyte"
"ACSL6",0.002915520085742,2.01548403434321,0.714,0.351,1,"Astrocyte"
"GNG2",0.00303408091079,2.2656096301513,0.429,0.117,1,"Astrocyte"
"WHAMM",0.003126101896077,1.33765129881934,0.286,0.052,1,"Astrocyte"
"APLP2",0.003186827726315,1.88223748787843,0.714,0.362,1,"Astrocyte"
"FBXO7",0.00335284929294,2.31711056622518,0.571,0.228,1,"Astrocyte"
"CYP20A1",0.003501572123055,2.35806498541198,0.571,0.224,1,"Astrocyte"
"CPT1A",0.003578425258586,1.89176045547066,0.571,0.219,1,"Astrocyte"
"TMEM14A",0.003669743647305,1.63648601599238,0.571,0.223,1,"Astrocyte"
"GPC1",0.003772189912873,1.26868336552458,0.286,0.053,1,"Astrocyte"
"LRRD1",0.003808772311744,1.07048150122147,0.286,0.052,1,"Astrocyte"
"MAP3K3",0.00382368600908,1.51161731412182,0.286,0.054,1,"Astrocyte"
"IFITM3",0.00391946398486,1.00830267167479,1,0.528,1,"Astrocyte"
"SOX4",0.004242530287829,2.29684321618477,0.571,0.226,1,"Astrocyte"
"ZCCHC24",0.004720481296674,1.41927741619971,0.286,0.056,1,"Astrocyte"
"CDC42BPG",0.00477598449928,2.0974671845977,0.429,0.125,1,"Astrocyte"
"GBP4",0.004844029041901,1.63372901981035,0.714,0.422,1,"Astrocyte"
"RHBDF1",0.00485291281433,1.44405641621024,0.286,0.056,1,"Astrocyte"
"IGF1R",0.004885121679023,1.34118743053153,0.286,0.056,1,"Astrocyte"
"ASPH",0.005062794969182,1.80756218212663,0.571,0.241,1,"Astrocyte"
"NUP133",0.005168036332664,1.43088462362542,0.286,0.056,1,"Astrocyte"
"IYD",0.005281117575376,2.05435002470446,0.429,0.129,1,"Astrocyte"
"FBXO21",0.005547836829689,1.77667564918312,0.429,0.129,1,"Astrocyte"
"TIE1",0.005559412431104,1.5317260954892,0.429,0.125,1,"Astrocyte"
"RRP7BP",0.005696396233403,2.12921568011739,0.571,0.248,1,"Astrocyte"
"SCD",0.005717850523673,1.71588063580461,0.429,0.127,1,"Astrocyte"
"DOCK5",0.005931650292292,1.66861055120568,0.429,0.129,1,"Astrocyte"
"ZNF84",0.006179564586007,1.15035428965427,0.286,0.058,1,"Astrocyte"
"DIXDC1",0.006400514675607,1.63450373866872,0.286,0.059,1,"Astrocyte"
"PDGFA",0.006578025146957,1.49704941980998,0.286,0.059,1,"Astrocyte"
"IL6ST",0.006683373595125,1.50943537485175,0.571,0.238,1,"Astrocyte"
"MAGI1",0.00672296582472,1.62345228028679,0.286,0.06,1,"Astrocyte"
"SLC28A2",0.007147950936186,1.6926202247115,0.571,0.24,1,"Astrocyte"
"CHST12",0.007188105861213,2.54387211455079,1,0.769,1,"Astrocyte"
"CSRP1",0.007414360538021,1.81603563998319,0.571,0.247,1,"Astrocyte"
"POLH",0.007537590547269,1.28260104322264,0.429,0.116,1,"Astrocyte"
"STMN1",0.00772776788222,1.51239498712174,0.571,0.238,1,"Astrocyte"
"SIPA1L2",0.00773825835549,1.53893277916967,0.286,0.061,1,"Astrocyte"
"PDE3B",0.007761278459149,2.14143561640691,0.571,0.257,1,"Astrocyte"
"ITGB1",0.007985883287806,1.62032165422582,0.714,0.446,1,"Astrocyte"
"FAM129A",0.0080780764413,1.53714956171783,0.429,0.133,1,"Astrocyte"
"NMNAT3",0.008265755260955,1.12710354190493,0.857,0.588,1,"Astrocyte"
"ABCA8",0.008315639243049,2.7082583500294,0.286,0.062,1,"Astrocyte"
"C1orf198",0.0083340540483,1.73829855465282,0.286,0.062,1,"Astrocyte"
"GIGYF1",0.00848053844234,1.50017782726981,0.286,0.062,1,"Astrocyte"
"RPS6KA5",0.008539862941012,1.20048635599577,0.714,0.361,1,"Astrocyte"
"PLSCR4",0.008645446611452,1.49031692525254,0.286,0.062,1,"Astrocyte"
"LATS1",0.00871335703459,1.36728808264019,0.286,0.062,1,"Astrocyte"
"PAXBP1",0.008862329703706,1.51885989301186,0.286,0.063,1,"Astrocyte"
"SEC22A",0.008882893370418,1.51479152018614,0.286,0.063,1,"Astrocyte"
"MAPK10",0.008913951104401,1.11768816741725,0.286,0.062,1,"Astrocyte"
"UTP23",0.008970362209898,1.40389020044553,0.429,0.138,1,"Astrocyte"
"MAB21L3",0.009154244360972,1.55356862017543,0.571,0.254,1,"Astrocyte"
"ZNF814",0.009203500748502,1.24029296646136,0.286,0.063,1,"Astrocyte"
"RGPD8",0.009215544021055,0.785068769294832,0.286,0.063,1,"Astrocyte"
"MDK",0.009991657798838,2.86128243652515,0.571,0.27,1,"Astrocyte"
"LRP6",0.009993115057091,1.45735937752282,0.286,0.064,1,"Astrocyte"
"JCHAIN",0,5.82904089248998,0.751,0.349,0,"B_cell"
"IGHA1",0,5.54260873832614,0.831,0.562,0,"B_cell"
"IGLC2",0,5.47953480746424,0.808,0.571,0,"B_cell"
"IGLL5",0,5.44256284328893,0.716,0.386,0,"B_cell"
"IGKC",0,5.24502268166528,0.978,0.821,0,"B_cell"
"IGLC3",0,5.14174549848142,0.704,0.475,0,"B_cell"
"IGHA2",0,4.94924098134693,0.608,0.173,0,"B_cell"
"IGHM",0,4.24057049727561,0.451,0.095,0,"B_cell"
"CD79A",0,2.97996058616857,0.857,0.035,0,"B_cell"
"MZB1",0,2.90482534728331,0.619,0.077,0,"B_cell"
"MS4A1",0,2.42734490409401,0.389,0.011,0,"B_cell"
"VPREB3",0,2.01156327735269,0.364,0.01,0,"B_cell"
"DERL3",0,1.89805538529539,0.554,0.041,0,"B_cell"
"CD79B",0,1.85037924859576,0.538,0.065,0,"B_cell"
"SSR4",0,1.62991405156592,0.776,0.752,0,"B_cell"
"HERPUD1",0,1.61969879478759,0.783,0.466,0,"B_cell"
"XBP1",0,1.53822213330428,0.595,0.403,0,"B_cell"
"TNFRSF17",0,1.48234950567384,0.518,0.011,0,"B_cell"
"CD37",0,1.44848347124567,0.579,0.29,0,"B_cell"
"FKBP11",0,1.3395993642025,0.562,0.297,0,"B_cell"
"CD74",0,1.23403650630731,0.935,0.591,0,"B_cell"
"BANK1",0,1.22013477305855,0.271,0.017,0,"B_cell"
"SEC11C",0,1.19706501991884,0.588,0.296,0,"B_cell"
"UBE2J1",0,1.12655311244576,0.62,0.244,0,"B_cell"
"POU2AF1",0,1.04649978004259,0.481,0.019,0,"B_cell"
"IRF8",0,1.04035844655275,0.25,0.089,0,"B_cell"
"POU2F2",0,0.99961527540599,0.376,0.076,0,"B_cell"
"IGLC1",0,0.968692408192692,0.668,0.369,0,"B_cell"
"MEF2C",0,0.952728904251653,0.553,0.136,0,"B_cell"
"TNFRSF13B",0,0.890211988509521,0.325,0.009,0,"B_cell"
"HLA-DQB1",0,0.873133631337162,0.413,0.183,0,"B_cell"
"FCRL5",0,0.850516092024349,0.395,0.007,0,"B_cell"
"DNAJB9",0,0.789533993881611,0.502,0.195,0,"B_cell"
"GNG7",0,0.750016489160655,0.395,0.032,0,"B_cell"
"IGHG1",9.43548500018947E-278,4.10266086108907,0.576,0.42,2.30357930794626E-273,"B_cell"
"IGHG3",1.20187831864105E-255,4.06559432687245,0.518,0.386,2.93426572713025E-251,"B_cell"
"IGHG4",1.37836394602146E-193,3.62638673570635,0.386,0.264,3.36513773781679E-189,"B_cell"
"SMIM14",2.26657450200978E-151,0.872783714458297,0.519,0.393,5.53361498920667E-147,"B_cell"
"IGHG2",1.79406990936619E-103,3.69187912273813,0.352,0.258,4.38004227672663E-99,"B_cell"
"REM2",5.0166019054354E-21,1.89754950590212,0.333,0.004,1.224753189193E-16,"BM"
"AC073610.1",1.97450353442734E-13,1.60657115972469,0.333,0.006,4.82055292895091E-09,"BM"
"AUNIP",2.19680708384592E-11,1.89701647910717,0.333,0.007,5.36328481450143E-07,"BM"
"ZNF484",7.65016977773116E-10,1.8868898097489,0.333,0.009,1.86771244953529E-05,"BM"
"AL513365.1",2.75804683655146E-09,1.59490554325901,0.333,0.009,6.73349554675673E-05,"BM"
"RPL9P7",4.03158911770059E-09,1.40231486936641,0.667,0.037,9.84272167195423E-05,"BM"
"SP6",2.98840836346707E-07,1.91992541933253,0.333,0.012,0.007295900178569,"BM"
